Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,VM CHARGERS VIRGINIA MASON2,Seattle,WA,98101,Public,,1,,,,Shoreline,6
ELEC,CHARGEPOINT T&C BAINBRIDGE,Bainbridge Island,WA,98110,Public,,2,,,,Silverdale,4
ELEC,INSIGNIA 953 EV216,Seattle,WA,98121,Public,,1,,,,Skykomish,3
ELEC,THE CENTURY CENTURY #4,Seattle,WA,98109,Public,,2,,,,Snohomish,4
ELEC,UWB CASCADIA CC TRULY HOUSE #1,Bothell,WA,98011,Public,,2,,,,Snoqualmie,1
ELEC,UWB CASCADIA CC SOUTH DUAL #2,Bothell,WA,98011,Public,,2,,,,Snoqualmie Pass,1
ELEC,COLLEGE HALL CROSBY HOUSE,Spokane,WA,99202,Public,,2,,,,Soap Lake,1
ELEC,Best Western Plus - Evergreen Inn and Suites,Federal Way,WA,98003,Public,,1,,,,Spanaway,2
ELEC,Best Western Plus - Tacoma Dome Hotel,Tacoma,WA,98421,Public,,1,,,,Spokane,51
ELEC,ESSEX SAMMAMISH VIEW,Bellevue,WA,98008,Public,,2,,,,Spokane Valley,7
ELEC,MADISON GARAGE MADISON GARAGE2,Seattle,WA,98104,Public,,2,,,,Steilacoom,1
ELEC,Expo Apartments,Seattle,WA,98109,Public,,1,,,,Stevenson,1
ELEC,Terex Aerial Work Platforms,Redmond,WA,98052,Public,,2,,,,Sultan,1
ELEC,GARAGE MEYDEN #167,Bellevue,WA,98004,Public,,2,,,,Sumner,1
ELEC,KING COUNTY DOT BURIEN P&R #5,Burien,WA,98166,Public,,1,,,,Sunnyside,1
ELEC,SIA CELL LOT,Spokane,WA,99224,Public,,2,,,,Suquamish,2
ELEC,Tumwater - Shell Station & Deli Mart,Tumwater,WA,98501,Public,,1,1,,,Tacoma,57
ELEC,Leavenworth - City Hall,Leavenworth,WA,98826,Public,,1,1,,,Tonasket,1
ELEC,Sultan - Sultan Visitor Information Center,Sultan,WA,98294,Public,,1,1,,,Tukwila,13
ELEC,Cle Elum,Cle Elum,WA,98922,Public,,1,1,,,Tulalip,1
ELEC,Snoqualmie - Snoqualmie Pass Chevron,Snoqualmie Pass,WA,98068,Public,,1,1,,,Tumwater,5
ELEC,Performance Kia,Everett,WA,98204,Public - Call ahead,,,1,,,Twisp,1
ELEC,Bedrooms & More,Seattle,WA,98105,Public,,1,,,,Union,1
ELEC,UWB CASCADIA CC BEARDSLEE #1,Bothell,WA,98011,Public,,2,,,,University Place,4
ELEC,NISSAN-EVERETT DC STATION 1,Everett,WA,98204,Public,,,1,,,Vancouver,40
ELEC,SAFECO PLAZA SAFECO PLAZA #1,Seattle,WA,98154,Public,,2,,,,Vashon,1
ELEC,Nissan of Kirkland,Kirkland,WA,98034,Public,,1,3,,,Vista Dr,1
ELEC,Lee Johnson Kia,Kirkland,WA,98033,Public,,,1,,,Waitsburg,1
ELEC,MI SCHOOLS NORTHWOOD #1,Mercer Island,WA,98040,Public,,2,,,,Walla Walla,15
ELEC,TRANS SERVICES TERRELL,Pullman,WA,99163,Public,,2,,,,Wapato,1
ELEC,TRANS SERVICES SCUE,Pullman,WA,99163,Public,,2,,,,Waterville,1
ELEC,BMW NORTHWEST STATION 01,Fife,WA,98424,Public,,2,,,,Wenatchee,14
ELEC,WASHINGTON ST LACONNER #1,La Conner,WA,98257,Public,,2,,,,Westport,1
ELEC,THE REGENT STATION 1,Bellevue,WA,98004,Public,,2,,,,Winthrop,3
ELEC,THE SHOPS SHOPSONCENTRAL,Quincy,WA,98848,Public,,2,,,,Woodinville,10
ELEC,LONGACRES LONGACRES A #1,Renton,WA,98057,Public,,2,,,,Woodland,1
ELEC,LONGACRES LONGACRES B #1,Renton,WA,98057,Public,,2,,,,Yakima,10
ELEC,LONGACRES LONGACRES A #2,Renton,WA,98057,Public,,2,,,,Zillah,2
ELEC,LONGACRES LONGACRES B #2,Renton,WA,98057,Public,,2,,,,Grand Total,1416
ELEC,TwispWorks,Twisp,WA,98856,Public,,1,,,,,
ELEC,PSS CHARGEPOINT PSS #2 NORTH,Seattle,WA,98144,Public,,2,,,,,
ELEC,PSS CHARGEPOINT PSS #1,Seattle,WA,98144,Public,,2,,,,,
ELEC,SOUND TRANSIT ANGLE LAKE #2,SeaTac,WA,98188,Public,,1,,,,,
ELEC,SOUND TRANSIT ANGLE LAKE #4,SeaTac,WA,98198,Public,,1,,,,,
ELEC,Town of Concrete - Park and Ride,Concrete,WA,98237,Public,,2,,,,,
ELEC,BMW SEATTLE DC FAST 02,Seattle,WA,98134,Public,,,1,,,,
ELEC,KENT STATION KENT STATION #2,Kent,WA,98032,Public,,1,,,,,
ELEC,Ferry County Public Utility District,Republic,WA,99166,Public,,1,,,,,
ELEC,Chelan County Public Utility District,Wenatchee,WA,98801,Public,,2,,,,,
ELEC,BASTYR UNIV BASTYR DUAL #1,Kenmore,WA,98028,Public,,2,,,,,
ELEC,Walla Walla Park,Wenatchee,WA,98801,Public,,1,,,,,
ELEC,DUAL EV SOUTH 1,Seattle,WA,98105,Public,,2,,,,,
ELEC,KING COUNTY DOT KSC STATION #5,Seattle,WA,98104,Public,,1,,,,,
ELEC,KING COUNTY DOT BURIEN P&R #8,Burien,WA,98166,Public,,1,,,,,
ELEC,RSS-1 RSS #1,Issaquah,WA,98027,Public,,2,,,,,
ELEC,RPNW PSP-COBB #2,Seattle,WA,98101,Public,,2,,,,,
ELEC,GARAGE COMMERCIAL ST 2,Bellingham,WA,98225,Public,,2,,,,,
ELEC,TRANS SERVICES PACCAR,Pullman,WA,99164,Public,,2,,,,,
ELEC,LINC SQUARE EXP LSE P2 #2,Bellevue,WA,98004,Public,,2,,,,,
ELEC,LINC SQUARE EXP P5 1,Bellevue,WA,98004,Public,,2,,,,,
ELEC,Skagit General Store,Rockport,WA,98283,Public,,1,,,,,
ELEC,Leavenworth Fish Hatchery,Leavenworth,WA,98826,Public,,1,,,,,
ELEC,Lincoln County Museum,Davenport,WA,99122,Public,,1,,,,,
ELEC,Softechnologies,Spokane,WA,99205,Public,,1,,,,,
ELEC,MERCER ISLAND CITY HALL #1,Mercer Island,WA,98040,Public,,2,,,,,
ELEC,UW TACOMA 6215 UW TAC LIB 1,Tacoma,WA,98402,Public,,2,,,,,
ELEC,Kitsap Transit-George’s Corner Park & Ride,Kingston,WA,98346,Public,,4,,,,,
ELEC,Kitsap Transit - Harper Church,Port Orchard,WA,98366,Public,2,2,,,,,
ELEC,EDMONDSNISSAN CHARGEPOINT MID,Edmonds,WA,98026,Public,,,1,,,,
